ReceptionTime,ts,tsys0,tsys1,tsys2,tsys3,tsys4,tsys5,tsys6,tsys7,tsys8,tsys9,tsys10,tsys11,tsys12,tsys13,tsys14,tsys15
1518045773.67542,1518045773.3326,20.499816,20.527583,20.551035,20.489712,20.54848,20.604869,20.542763,20.381741,20.517206,20.547736,20.390491,20.459814,20.587924,20.63149,20.498887,20.515442
1518045834.05321,1518045833.72512,20.510009,20.537168,20.553946,20.499432,20.555726,20.611635,20.54263,20.388646,20.516461,20.555709,20.396507,20.464738,20.590083,20.635136,20.502883,20.52152
1518045894.44256,1518045894.11196,20.516355,20.547294,20.558279,20.501997,20.559993,20.620229,20.547249,20.392912,20.524511,20.557534,20.402116,20.472224,20.59926,20.64182,20.511621,20.528004
1518045954.77571,1518045954.45251,20.524793,20.553639,20.566674,20.509556,20.565004,20.624897,20.554747,20.400291,20.534184,20.560845,20.408064,20.478496,20.603174,20.647154,20.518124,20.536514
1518046015.12001,1518046014.78244,20.535594,20.561806,20.570532,20.51806,20.573673,20.631596,20.562245,20.40591,20.53743,20.572332,20.417458,20.484161,20.612418,20.653163,20.525845,20.543066
1518046075.49206,1518046075.16469,20.544841,20.572741,20.578926,20.529669,20.581054,20.63843,20.570145,20.412273,20.543991,20.578818,20.422729,20.49367,20.618423,20.659914,20.535734,20.551913
1518046135.83227,1518046135.50603,20.559084,20.58381,20.585831,20.533516,20.589723,20.649661,20.575367,20.421818,20.551567,20.587129,20.432394,20.501358,20.629353,20.671189,20.542574,20.560895
1518046196.21574,1518046195.89103,20.568129,20.595285,20.593074,20.545327,20.596291,20.656427,20.586412,20.426016,20.561036,20.597331,20.441517,20.508304,20.637855,20.677332,20.552463,20.572511
1518046256.59245,1518046256.2664,20.576431,20.604059,20.601739,20.559769,20.602995,20.66617,20.594646,20.43529,20.570032,20.601656,20.4551,20.521791,20.647166,20.686581,20.566753,20.581425
1518046316.97529,1518046316.65382,20.588445,20.617152,20.607899,20.56618,20.610173,20.675236,20.604888,20.447948,20.581259,20.614831,20.464696,20.528535,20.653508,20.697653,20.57339,20.591825
1518046377.35152,1518046377.02837,20.598637,20.63038,20.619,20.571174,20.625138,20.682813,20.611448,20.45668,20.593771,20.627465,20.475508,20.539661,20.665787,20.706428,20.585445,20.601414
1518046437.72901,1518046437.40368,20.612743,20.638681,20.626716,20.588382,20.633264,20.696953,20.626978,20.465683,20.59864,20.637666,20.487739,20.549911,20.678875,20.717904,20.596416,20.616946
1518046498.0957,1518046497.77174,20.626241,20.654,20.640389,20.597965,20.643353,20.706695,20.632132,20.475498,20.613248,20.645706,20.498618,20.561441,20.688657,20.72857,20.610231,20.630586
1518046558.46826,1518046558.1463,20.640345,20.660277,20.648375,20.607547,20.654661,20.717721,20.643578,20.487884,20.6263,20.660433,20.513416,20.572702,20.697292,20.742003,20.623503,20.640377
1518046618.85089,1518046618.53015,20.648916,20.678497,20.653925,20.617062,20.664817,20.730507,20.65402,20.501692,20.637864,20.671782,20.526524,20.586389,20.711661,20.75449,20.637453,20.65692
1518046679.19468,1518046678.86933,20.66302,20.691588,20.669086,20.628735,20.676327,20.741533,20.669749,20.510423,20.64794,20.683469,20.539361,20.59711,20.722927,20.76745,20.650995,20.664819
1518046739.57207,1518046739.24485,20.679486,20.701777,20.683231,20.641825,20.689936,20.75053,20.679587,20.525448,20.657948,20.696709,20.554833,20.608707,20.733652,20.779396,20.666772,20.682172
1518046799.94491,1518046799.61869,20.688798,20.716285,20.691758,20.658963,20.699414,20.765006,20.689894,20.535532,20.675259,20.706504,20.570237,20.626034,20.748357,20.79195,20.679501,20.69581
1518046860.33211,1518046860.00384,20.706005,20.728565,20.704211,20.665778,20.712954,20.778669,20.70348,20.549474,20.688174,20.725485,20.58152,20.636349,20.764343,20.805719,20.694194,20.710865
1518046920.72684,1518046920.38014,20.716801,20.738551,20.713753,20.680149,20.72663,20.790709,20.713786,20.558745,20.701089,20.736022,20.595909,20.652259,20.77554,20.824413,20.708953,20.723422
1518046981.09125,1518046980.75652,20.730566,20.754272,20.728709,20.689932,20.735633,20.803965,20.726167,20.569234,20.714003,20.7523,20.612055,20.66473,20.790176,20.834334,20.729264,20.740097
1518047041.45975,1518047041.13356,20.744263,20.763582,20.741228,20.705381,20.750391,20.815937,20.738347,20.585814,20.727052,20.767631,20.628065,20.676595,20.799821,20.850058,20.737253,20.753531
1518047101.83759,1518047101.50855,20.757419,20.775457,20.752325,20.718807,20.762508,20.827637,20.750526,20.599145,20.738275,20.778032,20.644007,20.691223,20.812029,20.866389,20.753568,20.767977
1518047162.22146,1518047161.89359,20.767674,20.790906,20.767618,20.734862,20.771917,20.84184,20.76498,20.608686,20.757003,20.794376,20.656638,20.705244,20.830305,20.882314,20.767919,20.783705
1518047222.60911,1518047222.27986,20.784878,20.800621,20.778918,20.747814,20.787148,20.855095,20.780169,20.623911,20.770456,20.808086,20.674605,20.719669,20.840691,20.896484,20.784572,20.799027
1518047282.99039,1518047282.65723,20.792839,20.818296,20.795698,20.75881,20.801701,20.86693,20.788533,20.638458,20.781273,20.825104,20.689059,20.736519,20.85573,20.909912,20.79723,20.810164
1518047343.35695,1518047343.03248,20.809502,20.826256,20.805915,20.774729,20.811109,20.883498,20.805796,20.650434,20.793508,20.835976,20.700676,20.747101,20.866115,20.9228,20.817334,20.827578
1518047403.73321,1518047403.40604,20.818069,20.835363,20.818026,20.78768,20.82336,20.895737,20.818241,20.668229,20.808448,20.854006,20.716953,20.760581,20.879872,20.94041,20.829923,20.840874
1518047464.10764,1518047463.78245,20.834597,20.850001,20.830542,20.799754,20.83561,20.907503,20.832425,20.678513,20.822846,20.863662,20.732014,20.778105,20.895651,20.95532,20.844881,20.861189
1518047524.49945,1518047524.10603,20.845187,20.859781,20.845156,20.809467,20.848943,20.920892,20.844134,20.693667,20.837379,20.879868,20.746196,20.787068,20.910148,20.968544,20.85659,20.871042
